"TmdbId","ChildType","Season Number","Episode Number","Watched"
"70523","tv","1","1","false"
"70523","tv","1","2","false"
"70523","tv","1","3","false"
"70523","tv","1","4","false"
"70523","tv","1","5","false"
"70523","tv","1","6","false"
"70523","tv","1","7","false"
"70523","tv","1","8","false"
"70523","tv","1","9","false"
"70523","tv","1","10","false"
"70523","tv","2","1","false"
"70523","tv","2","2","false"
"70523","tv","2","3","false"
"70523","tv","2","4","false"
"70523","tv","2","5","false"
"70523","tv","2","6","false"
"70523","tv","2","7","false"
"70523","tv","2","8","false"
"70523","tv","3","1","false"
"70523","tv","3","2","false"
"70523","tv","3","3","false"
"70523","tv","3","4","false"
"70523","tv","3","5","false"
"70523","tv","3","6","false"
"70523","tv","3","7","false"
"70523","tv","3","8","false"
